address,city,city_state,description,item_url,property_sub_type_name,sale,size_summary,sublease,zip
"530 Western Ave, Brighton, MA  02135",Brighton,"Brighton, MA",n/a,https://bradvisors.com/listings/?propertyId=843386-lease,Street Retail,False,"1,060 - 2,530 SF",False,02135
"745 Boylston Street, Boston, MA  02116",Boston,"Boston, MA","1st Floor: 3,500 SF
Lower Level: 2,360 SF
TOTAL: 5,860 SF",https://bradvisors.com/listings/?propertyId=873302-lease,Street Retail,False,"5,860 SF",False,02116
"916 Dorchester Ave, Boston, MA  02125",Boston,"Boston, MA",TRANSFORMATIONAL SUBMARKET ON REDLINE,https://bradvisors.com/listings/?propertyId=884502-lease,Street Retail,False,"1,250 SF",False,02125
"129 Border Street, Boston, MA  02128",Boston,"Boston, MA","Rare Standalone Asset with Parking Lot
East Boston, MA
+/- 10,000 SF",https://bradvisors.com/listings/?propertyId=886803-lease,Street Retail,False,"10,000 SF",False,02128
"60 Newmarket Square, Boston, MA  02118",Boston,"Boston, MA","3,705 SF AVAILABLE",https://bradvisors.com/listings/?propertyId=890642-lease,Street Retail,False,"3,705 SF",False,02118
"253 Newbury Street, Boston, MA  02116",Boston,"Boston, MA",n/a,https://bradvisors.com/listings/?propertyId=841499-lease,Street Retail,False,"1,050 SF",False,02116
"164 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","1,800 SF RETAIL & 1,400 SF OFFICE F0R LEASE

Type: Retail
Listing Status: Currently Marketing
Neighborhood: Back Bay",https://bradvisors.com/listings/?propertyId=841722-lease,Street Retail,False,"1,400 - 1,800 SF",False,02116
"279 A NEWBURY STREET, Boston, MA  02116",Boston,"Boston, MA","3,500 SF OF RESTAURANT SPACE FOR LEASE
NEWBURY STREET: THE BUSIEST BLOCK

Type: Retail
Neighborhood: Back Bay
Property Details: 3,500 SF
Garden & Parlor Levels",https://bradvisors.com/listings/?propertyId=841725-lease,Restaurant,False,"3,500 SF",False,02116
"33-35 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","980-1,980 RSF available at ground level. Lots of signage and display area. Bathrooms, storage area and HVAC included.

Type: Retail
Listing Status: Currently Marketing
Neighborhood: Back Bay
Property Details: 980-1,980 RSF
Ground Level",https://bradvisors.com/listings/?propertyId=841728-lease,Street Retail,False,"980 - 1,980 SF",False,02116
"279 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","Type: Retail
Neighborhood: Back Bay
Property Details: 2,750 SF
Garden Level

",https://bradvisors.com/listings/?propertyId=841739-lease,Street Retail,False,"2,750 SF",False,02116
"86 Kirkland Street, Cambridge, MA  02138",Cambridge,"Cambridge, MA",n/a,https://bradvisors.com/listings/?propertyId=841949-lease,Street Retail,False,"1,000 - 3,011 SF",False,02138
"420 COMMERCIAL ST, Boston, MA  02109",Boston,"Boston, MA","Type: Retail
Neighborhood: North End
Property Details: 1,740 SF - Street Level
400 SF - Lower Level",https://bradvisors.com/listings/?propertyId=841971-lease,Street Retail,False,"2,140 SF",False,02109
"16-18 ELIOT STREET, Cambridge, MA  02138",Cambridge,"Cambridge, MA","TRANSPORTATION
16-18 Eliot Street’s prime location offers a multitude of transportation options. Residents have direct access to the Harvard Square MBTA Station (Red Line), providing convenient access to all of Cambridge and downtown Boston in minutes. In addition to the subway, there are numerous bus routes that service the Cambridge area. Also conveniently located at the near by Porter Square Station is a stop on the Fitchburg/South Acton line of the Commuter Rail, allowing for people living outside of the city to visit the neighborhood.

UNMATCHED LOCATION
Positioned in the heart of historic Harvard Square,  16-18 Eliot Street is an integral piece of this 24-hour world renowned shopping, dining, cultural and historical destination. The property sits directly across the street from Harvard Kennedy School, which creates an enormous amount of pedestrian traffic.

NEIGHBORHOOD AMENITIES
Harvard Square is one of Boston’s busiest neighborhoods and is home to Harvard University, the most prestigious University in the country. While maintaining its unique history and distinguished reputation, Harvard Square has made a name for itself as one the of hot new retail markets of Boston and a “foodie” destination. Alden&Harlow, Longfellow Bar, Bluestone Lane, Patagonia, and Ray Ban in the streets.",https://bradvisors.com/listings/?propertyId=841981-lease,Restaurant,False,"2,000 - 2,350 SF",False,02138
"241 A STREET, Boston, MA  02210",Boston,"Boston, MA","Type: Retail
Neighborhood: South Boston
Property Details: 3,786 to 7,512 SF Available
Lower level – 3,726
1st floor – 3,786",https://bradvisors.com/listings/?propertyId=841987-lease,Street Retail,False,"3,726 - 3,786 SF",False,02210
"48 BRATTLE STREET, Cambridge, MA  02138",Cambridge,"Cambridge, MA",n/a,https://bradvisors.com/listings/?propertyId=842006-lease,Street Retail,False,"13,138 SF",False,02138
"171 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","Type: Retail
Property Details:
2,638 SF Available
Street Level: 1,831 SF Available
Mezzanine Level: 807 SF Available",https://bradvisors.com/listings/?propertyId=842248-lease,Street Retail,False,"2,638 SF",False,02116
"2825 West Main Street, Bozeman, MT  59718",Bozeman,"Bozeman, MT","Gallatin Crossing is the multi-year reimagining and redevelopment of 38 acres in the heart of Bozeman, Montana. Anchored by Montana’s first Whole Foods Market, Macy’s, Regal Cinema, Barnes and Noble, a medical office complex in addition to dozens of national and local brands that fit the Bozeman lifestyle, Gallatin Crossing is Montana’s newest and most comprehensive lifestyle mixed use development. 
By pairing the best in luxury retail, food, entertainment, and value retail with such amenities as medical providers and housing, Gallatin Crossing has become the commercial focal point of Bozeman, Montana. Due to the vastness of the surrounding area, Gallatin Crossing has a true trade area of over 75 miles. Located on the former site of the Gallatin Valley Mall, this development boasts over ¼ mile of frontage on Main Street, benefits from great visibility and has a four-way traffic light at the point of entrance. Whether a shopper is traveling from Downtown Bozeman, Montana State University or Big Sky Resort and Yellowstone National Park, Gallatin Crossing is at the center of it all.",https://bradvisors.com/listings/?propertyId=987018-lease,Street Retail,False,"235,000 SF",False,59718
"655 Tremont Street, Boston, MA  02118",Boston,"Boston, MA",Street Level Retail ,https://bradvisors.com/listings/?propertyId=843377-lease,Street Retail,False,"1,246 SF",False,02118
"179 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","Boston Realty Advisors is pleased to present 2 new full floor suites available at 179 Newbury Street.
179 Newbury Street is conveniently located between Exeter and Dartmouth Streets on Boston Historic Newbury Street. New ownership is in the process of a full gutt renovation to this special little jewel of a building. Originally built as a private residence in 1899, it has seen many transformations but none like the one it is about to undergo. Ownership plans to build a state of the art new contemporary office space to suit Newbury Street’s new flock of refined and elegant office tenants looking for a truly unique place to house their operations. ",https://bradvisors.com/listings/?propertyId=895437-lease,Office Building,False,"2,615 SF",False,02116
"33-41 West Street, Boston, MA  02111",Boston,"Boston, MA",Full floor opportunity for small office users,https://bradvisors.com/listings/?propertyId=891467-lease,Office Building,False,"1,971 - 6,972 SF",False,02111
"283 Dartmouth Street, Boston, MA  02116",Boston,"Boston, MA","Boston Realty Advisors is pleased to present 2 full floor suites available at 283 Dartmouth Street. With three sides of windows, these suites have wood floors and tons of natural light. 283 Dartmouth is conveniently located on Dartmouth Street between Commonwealth Ave and Newbury Street and offers easy access to MBTA Commuter Rail and Orange Line Station at Back Bay & Green Line Stations at Copley.

Type: Downtown Office
Neighborhood: Back Bay
Property Details: Available Space:

3rd & 4th Floor: 2,132 SF",https://bradvisors.com/listings/?propertyId=842597-lease,Office Building,False,"1,434 - 2,132 SF",False,02116
"2 Oliver Street, Boston, MA  02109",Boston,"Boston, MA","Boston Realty Advisors is pleased to present space for sublease at 2 Oliver Street. Plug & play suite opportunity at 2,043 SF for $35/SF.
",https://bradvisors.com/listings/?propertyId=841993-lease,Office Building,False,"2,043 SF",False,02109
"318-330 W 2nd Street, Boston, MA  02127",Boston,"Boston, MA","Type: Downtown Office
Neighborhood: South Boston
Property Details: 1st Floor: 1,300 SF (Available Immediately)

1st Floor: 1,200 SF (Available 10/1/21)
LL: 900 SF (Storage space, rent negotiable)

Rent: $33-36/SF

Term: 2-5 Years

Parking: $295-400/spot per month
OR
$19-25/spot per day",https://bradvisors.com/listings/?propertyId=841485-lease,Office Building,False,"1,300 SF",False,02127
"154-156 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","9,000 SF of Office Space available",https://bradvisors.com/listings/?propertyId=843966-lease,Office Building,False,"3,000 SF",False,02116
"358 Highland Avenue, Salem, MA  01970",Salem,"Salem, MA","Boston Realty Advisors is pleased to present the opportunity to acquire 358 Highland Avenue, located in the dynamic North Shore submarket, Salem, MA. The offering consists of three parcels making up a 3.3 acre or +/-144,348 SF offering along one of Salem’s most burgeoning corridors.

Salem, one of the premiere cities in the North Shore, benefits from a number of museums and attractions dedicated to the city’s

rich history that draws hundreds of thousands of tourists annually. In the center of the city is Salem MBTA Station serviced by the Newbury/Rockport Line which takes passengers to Boston in 30 minutes. Located just a short drive away from the city center, the property also benefits from close proximity to I-95 and Rte. 1, making it ideal for commuters.

358 Highland Avenue is offered for sale on an unpriced basis. We will be conducting tours of the property in the coming weeks with a call-for-offers to follow.",https://bradvisors.com/listings/?propertyId=840346-sale,Other,True,3.3 Acres,False,01970
"1030 Cambridge Street, Cambridge, MA  02141",Cambridge,"Cambridge, MA",Ample window line with great natural light and excellent signage opportunity overlooking Cambridge Street.,https://bradvisors.com/listings/?propertyId=962684-lease,Office Building,False,"2,057 SF",False,02141
"285 Washington Street, Somerville, MA  02143",Somerville,"Somerville, MA","Brick and beam, open floor plan, three private parking spaces.",https://bradvisors.com/listings/?propertyId=975230-lease,Office Building,False,"3,350 SF",True,02143
"205 Broadway, Somerville, MA  02145",Somerville,"Somerville, MA","Boston Realty Advisors is pleased to present the exceptional opportunity to acquire 205 Broadway, which is a mixed use residential opportunity in Somerville, Massachusetts. This location, walking distance from the soon-to-be-completed Gilman Square Green Line extension stop, and a half-mile from the Assembly Orange Line stop, provides residents with easy access to downtown Boston. The Green Line extension is expected to be completed and operational by late-2021. Additionally, I-93 is conveniently accessible from the property, allowing residents to easily navigate all of Eastern Massachusetts.

Somerville is conveniently located just over the Charles River from Boston, allowing for an effortless commute to Boston via multiple routes. The Green Line and the Orange line connect with the Commuter Rail and Blue, Red, and Silver lines, giving residents of 205 Broadway access to the entire MBTA system. Somerville is also home to one of the strongest development pipelines in all of New England. Between Union Square, Boynton Yards, Assembly Row, Cambridge Crossing, and Hood Business Park, there are thousands of residential units and over 10 million SF of office & lab space that will be delivered within the next decade. Residents will also have the opportunity to enjoy the current retail amenities of Assembly Row and the newly-constructed Encore Casino, which includes 15 bars and restaurants about 2 miles from the properties. 205 Broadway is currently un-permitted offering investors significant value-add potential.

205 Broadway is offered for sale on an un-priced basis.",https://bradvisors.com/listings/?propertyId=840309-sale,Multifamily,True,"7,405 SF",False,02145
"151 O Street, Boston, MA  02127",Boston,"Boston, MA","The offering is a multi-family building consisting of three one bedroom units. The building has been completely renovated within the last twelve months. Unit features include modern finishes complete with Whirlpool appliances, granite counters, oak hardwood floors, marble bathrooms and high efficiency on-demand hot water heaters. In addition to the recent in-unit renovations, there have been many base building renovations completed.",https://bradvisors.com/listings/?propertyId=1034148-sale,Low-Rise/Garden,True,"1,980 SF",False,02127
"121 Prospect Street, Somerville, MA  02143",Somerville,"Somerville, MA","Boston Realty Advisors is pleased to present 121 Prospect Street, a premier development opportunity on the Somerville Cambridge line, under a quarter of a mile from the newly anticipated Union Square Station and steps from Cambridge’s Inman Square. 121 Prospect Street is approximately a 10,063 square foot corner lot recently up zoned for apartment development.

Conveniently located within a mile of Harvard, MIT and Central Square, 121 Prospect Street allows future residents convenient access to public transportation, and all that Somerville and Cambridge has to offer. To maximize its potential and compete with neighboring markets, the City of Somerville has shifted its focus to revitalization through its “Somervision” plan, which will result in thousands of residential units and millions of office & lab square footage to be delivered within the next decade. With the green line extension, residents will have easy access to Tufts University as well, bridging the gap between institutions.

The greater Boston market is home to World’s largest cluster of Life Science and Biotech Companies, complemented by a dominant higher educational presence. Between Union Square, Boynton Yards, Assembly Row, Kendall Square, Cambridge Crossing, and Hood Business Park, there is no better location for young professionals and students of all ages to be located.

121 Prospect Street is currently zoned for residential development. The existing lot of 10,063 square feet, is offered for sale on an un-priced basis. We will be sharing the details of the site and zoning information with a “call-for-offers” to follow.",https://bradvisors.com/listings/?propertyId=840320-sale,Multifamily,True,"10,063 SF",False,02143
"35 Eastman Street, South Easton, MA  02375",South Easton,"South Easton, MA","35 Eastman Street offers high-bay warehouse and manufacturing sublet space located within 3.4 miles of I-495 and 5 miles of I-95 and Route 24. The industrial-zoned building is designed to support a variety of users in need of warehouse, manufacturing, lab and flexible office space. The 50,000 SF of sublease offers 24’-28’ clear heights, up to 15,000 SF  of office space over two floors, ample parking and extensive loading docks.",https://bradvisors.com/listings/?propertyId=985530-lease,High Bay Warehouse ,False,"50,000 SF",False,02375
"2172 Massachusetts Avenue, Cambridge, MA  02140",Cambridge,"Cambridge, MA","For Lease  |  +/- 2,268 SF",https://bradvisors.com/listings/?propertyId=1037212-lease,Street Retail,False,"2,268 SF",False,02140
"667 Boylston Street, Boston, MA  02116",Boston,"Boston, MA","Boston Realty Advisors is pleased to present 1,935 SF for lease at 667 Boylston Street.
This beautiful boutique office space includes three offices, open area, conference room and a kitchen with exclusive elevator access. The location provides occupants with plentiful retail, restaurants, and specialty stores along with an abundance of parking options within walking distance. This is a unique chance to occupy a full
floor space in Boston’s most prestigious neighborhood.",https://bradvisors.com/listings/?propertyId=897022-lease,Office Building,False,"1,935 SF",False,02116
"118 Newbury Street, Boston, MA  02116",Boston,"Boston, MA",Boston Realty Advisors is very pleased to present  rarely available office space at 118 Newbury Street. This building has been meticulously renovated and offers a truly incomparable high quality office experience  on Newbury Street. Every detail of this building has been meticulously thought through and designed by the owner. ,https://bradvisors.com/listings/?propertyId=914946-lease,Office/Retail,False,"510 - 1,918 SF",False,02116
"557 Boylston Street, Boston, MA  02116",Boston,"Boston, MA","BACK BAY OFFICE/RETAIL SPACE 
814 - 2,912 SF AVAILABLE

Mezzanine & 4th Floor 
814 - 2,912 SF",https://bradvisors.com/listings/?propertyId=909292-lease,Office Building,False,"814 - 2,912 SF",False,02116
"44 Brattle Street, Cambridge, MA  02138",Cambridge,"Cambridge, MA","Located on Brattle Street and a busy walkway from Church Street to the Cambridge Post Office on Mount Auburn Street. The space is surrounded by a number of the very best institutions and destinations in Harvard Square such as Anthropologie, Harvest Restaurant, Patagonia, Marine Layer, The Brattle Theatre and Alden & Harlow.",https://bradvisors.com/listings/?propertyId=1032163-lease,Street Retail,False,"1,857 - 5,200 SF",False,02138
"69 Canal Street, Boston, MA  02114",Boston,"Boston, MA","Bus Line
Commuter Rail
Metro/Subway
Signage",https://bradvisors.com/listings/?propertyId=851645-lease,Office Building,False,"3,431 - 3,513 SF",False,02114
"67 Kemble Street, Boston, MA  02119",Boston,"Boston, MA",Boston Realty Advisors is pleased to present an amazing brick and beam office/flex option minutes to the South End with access to parking and public transportation. This building has a freight/passenger elevator for easy loading in and out if needed. The building is occupied by many businesses who benefit from its affordable rents and close proximity to the city.,https://bradvisors.com/listings/?propertyId=1022870-lease,Office Building,False,"2,381 - 16,436 SF",False,02119
"540 COMMONWEALTH AVENUE, Boston, MA  02215",Boston,"Boston, MA","540 Commonwealth Avenue boasts an unparalleled location right in the heart of Kenmore Square. The opportunity allows for unique signage and exposure for educational institutions needing significant traffic and ease of transit. The building is steps from the Kenmore Square Green Line stop, the commuter rail – servicing the Needham and Worchester lines – and is accessible to the Mass Pike and Storrow Drive.

Type: Downtown Office
Neighborhood: Downtown
Property Details:
Availability – September 1, 2019
2nd floor – 8,140 SF
3rd floor – 8,140 SF
",https://bradvisors.com/listings/?propertyId=842580-lease,Office Building,False,"8,140 SF",False,02215
"140 PEARL STREET, Chelsea, MA  02150",Chelsea,"Chelsea, MA","Type: Retail
Property Details: For Sale/Lease • Retail/Restaurant Condominium",https://bradvisors.com/listings/?propertyId=841990-sale,Street Retail,True,"2,500 SF",False,02150
"140 PEARL STREET, Chelsea, MA  02150",Chelsea,"Chelsea, MA","Boston Realty Advisors is pleased to present a rare opportunity to lease or acquire the commercial condo at 140 Pearl, which is part of a brand new 18 unit mixed-use development in the evolving downtown area of Chelsea. This premier asset provides business owners and restaurateurs with a blank canvas to build out their dream concept.

The new constructed condo consists of 2,500 SF on the Street Level and comes with black iron duct work run to the roof, as well as two HVAC units already stubbed into the space. The storefront features floor to ceiling glass allowing ample natural light during the day. This asset is uniquely positioned for longterm upside from the continued development in the immediate vicinity and the neighboring Everett and East Boston.",https://bradvisors.com/listings/?propertyId=841990-lease,Street Retail,False,"2,500 SF",False,02150
"120 BEACON STREET, Somerville, MA  02143",Somerville,"Somerville, MA","DETAILS:
Fully furnished
High ceilings, windows on 2 sides
Parking & Bike Storage

Type: Urban
Listing Status: Sublease
Property Details: 3rd Floor: 3,333 SF
Lease Term: Thru 6/30/23",https://bradvisors.com/listings/?propertyId=842584-lease,Office Building,False,"3,333 SF",True,02143
"116 N Beacon Street, Boston, MA  02135",Boston,"Boston, MA","116 N. Beacon offers 7,500 SF of well-appointed medical space in a stand-alone building. With two surgical suites and the potential for a third, the build out is ideal for a health care institution with ability to transfer surgical licenses or a practice that performs non invasive outpatient procedures.",https://bradvisors.com/listings/?propertyId=876334-lease,Medical,False,"7,500 SF",False,02135
"99 Summer Street, Boston, MA  02128",Boston,"Boston, MA","Boston Realty Advisors has been exclusively retained to solicit offers for the lease or sale of The Commercial Condo at The Mark, a +/- 6,300 square foot new construction retail or office condominium located on the Boston Harbor below 107 luxury residential condominiums. This waterfront commercial condo provides investors and owner-occupiers the rare opportunity to invest in brand new real estate with irreplaceable Boston views in a high growth market.

The Commercial Condo at The Mark is an ideal opportunity for buyers to take advantage of a new construction waterfront space in the rapidly appreciating neighborhood of East Boston.",https://bradvisors.com/listings/?propertyId=842320-sale,Street Retail,True,"6,300 SF",False,02128
"99 Summer Street, Boston, MA  02128",Boston,"Boston, MA","Boston Realty Advisors has been exclusively retained to solicit offers for the lease or sale of The Commercial Condo at The Mark, a +/- 6,300 square foot new construction retail or office condominium located on the Boston Harbor below 107 luxury residential condominiums. This waterfront commercial condo provides investors and owner-occupiers the rare opportunity to invest in brand new real estate with irreplaceable Boston views in a high growth market.

The Commercial Condo at The Mark is an ideal opportunity for buyers to take advantage of a new construction waterfront space in the rapidly appreciating neighborhood of East Boston.",https://bradvisors.com/listings/?propertyId=842320-lease,Street Retail,False,"6,300 SF",False,02128
"15-17 North Beach Street, Nantucket, MA  02554",Nantucket,"Nantucket, MA","2 Suites Available For Immediate Occupancy
1,150 SF each
Allowed Use: Office/Retail",https://bradvisors.com/listings/?propertyId=980308-lease,Coworking,False,"1,150 SF",False,02554
"923 Main Street, Wilmington, MA  01887",Wilmington,"Wilmington, MA","Boston Realty Advisors is pleased to present the exceptional opportunity to acquire Maple Meadows, a 75-acre land site at 923 Main Street, Wilmington, MA. The property was formerly home to a Wilmington town dump, but has been officially inactive since 1976. The site features a landfill that takes up approximately 35% of the acreage and rises to about 4 stories in height. 71 acres of the property is zoned for low-density residential use, and the other 4 acres are zoned for general industrial use.

Maple Meadows is bordered on the west by a predominantly residential part of Wilmington and on the east by an industrial hub that is concentrated around Interstate-93. This industrial hub is one of the preeminent last-mile delivery locations in Massachusetts, as it resides at the junction of I-93 and I-95; it is comprised of over 7.5 million SF of industrial space. Some of the notable industrial/warehouse tenants are Crate & Barrel, Pepsi, FedEx Ground, and Keystone Automotive. Nearby employers and retailers include Raytheon, American Tower Corporation, Target, Boston Sports Club, Starbucks, and Chipotle. The Wilmington/Woburn town line sits about a quarter-mile to the south of the site. Maple Meadows itself is about two and a half miles from the nearest exit/entrance to I-93.

Maple Meadows offers investors a myriad of opportunities to create value on a vast swathe of land. There are very few unimproved sites of this size within 10 miles of downtown Boston left. While much of the site is use-restricted by the landfill and by wetlands, there is still substantial acreage that is potentially developable into industrial and/or residential uses.

Maple Meadows is offered for sale on an un-priced basis. We will be conducting tours of the property with a “call-for-offers” to follow.",https://bradvisors.com/listings/?propertyId=840263-sale,Multifamily,True,75 Acres,False,01887
"561 Cambridge Street, Cambridge, MA  02141",Cambridge,"Cambridge, MA",Restaurant / Retail For Lease,https://bradvisors.com/listings/?propertyId=997249-lease,Street Retail,False,"1,758 SF",False,02141
"1995 Massachusetts Avenue, Cambridge, MA  02140",Cambridge,"Cambridge, MA","788 SF Retail Space for Lease
Patio Seating Opportunity",https://bradvisors.com/listings/?propertyId=1011329-lease,Street Retail,False,788 SF,False,02140
"161 NEWBURY STREET, Boston, MA  02116",Boston,"Boston, MA","Type: Retail
Neighborhood: Back Bay
Property Details:
Approximate Size: 1,000 SF
Frontage: 14”
Ceiling Height: 9.5”
Site Status: Vacant
Availability: Now",https://bradvisors.com/listings/?propertyId=842283-lease,Street Retail,False,"1,000 SF",False,02116
"235 NEWBURY STREET, Boston, MA  02116",Boston,"Boston, MA","Beautiful Storefront on one of Newbury’s best blocks
Move in condition
New façade and storefront windows
Neighbor to popular Serafina",https://bradvisors.com/listings/?propertyId=842293-lease,Street Retail,False,"700 - 2,340 SF",False,02116
"117 NEWBURY STREET, Boston, MA  02116",Boston,"Boston, MA","Type: Retail
Neighborhood: Back Bay
Property Details:
1,192 SF – 2,385 SF Available
Site Status: Fat Face
Availability: Q1 2021",https://bradvisors.com/listings/?propertyId=842312-lease,Street Retail,False,"1,192 - 2,385 SF",False,02116
"130 NEWBURY STREET, Boston, MA  02116",Boston,"Boston, MA","Beautiful boutique on one of Newbury Street’s best blocks
Highly visible location
Move in condition

Type: Retail
Property Details:
Size: 1,011 SF –  2,086 SF
Location: Located on the third block of Newbury between Clarendon and Dartmouth Streets
Site Status: Available
Availability: Q1 2020",https://bradvisors.com/listings/?propertyId=842313-lease,Street Retail,False,"1,011 - 2,086 SF",False,02116
"128 NEWBURY STREET, Boston, MA  02116",Boston,"Boston, MA",n/a,https://bradvisors.com/listings/?propertyId=842314-lease,Street Retail,False,914 SF,False,02116
"20 Park Plaza, Boston, MA  02116",Boston,"Boston, MA","Type: Retail
Neighborhood: Back Bay
Property Details:
Space Available: Approx 4,000 RSF at Street Level
Frontage: Approx. 170'
Window Glass Area: Approx. 1,300 SF",https://bradvisors.com/listings/?propertyId=842321-lease,Street Retail,False,"4,000 SF",False,02116
"16-24 UNION PARK STREET, Boston, MA  02118",Boston,"Boston, MA","Type: Retail
Neighborhood: South End
Property Details: 1,700 SF
",https://bradvisors.com/listings/?propertyId=842323-lease,Street Retail,False,"1,700 SF",False,02118
"88 Wareham, Boston, MA  02118",Boston,"Boston, MA","GROUND FLOOR RETAIL IN LUXURY RESIDENTIAL MIXED-USE
Ground floor retail space located in 88 Wareham, a boutique collection of luxury condominium residences for sale in the SoWa District. Designed by Brian Healy Architects, 88W offers 27 new homes with crafted finishes, a landscaped rooftop terrace, and a fully automated parking system by 5BY2, all surrounded by the cultured sophistication of Boston’s South End.

Here is an opportunity to join the SoWa Art & Design District, in Boston’s vibrant South End neighborhood, surrounded by boutique dining, cafés, the SoWa Market and farmers market, independent shops, hundreds of art galleries and studios, cultural institutions, live music and nightlife.

Surrounding Tenants include Hidden Kitchen, Boston Flower Market, Gaslight Brasserie, Boston Chops South End, The Gallows & South End Buttery Restaurants.

Type: Retail
Neighborhood: South End
Property Details: ± 1,435 SF",https://bradvisors.com/listings/?propertyId=842571-lease,Street Retail,False,"1,435 SF",False,02118
"112 NEWBURY STREET, Boston, MA  02116",Boston,"Boston, MA","Beautiful boutique on one of Newbury Street’s best blocks
Highly visible location
Located on the third block of Newbury between Clarendon and Dartmouth Streets

Type: Retail
Property Details: 1,340 SF Street Level",https://bradvisors.com/listings/?propertyId=843279-lease,Street Retail,False,"1,340 SF",False,02116
"132 Newbury Street, Boston, MA  02116",Boston,"Boston, MA",Street Level plus Mezzanine Level,https://bradvisors.com/listings/?propertyId=843375-lease,Street Retail,False,"1,956 SF",False,02116
"3200 Washington Street, Jamaica Plain, MA  02130",Jamaica Plain,"Jamaica Plain, MA",n/a,https://bradvisors.com/listings/?propertyId=843383-lease,Restaurant,False,"1,022 - 2,588 SF",False,02130
"105 Newbury, Boston, MA  02116",Boston,"Boston, MA","Boston Realty Advisors is pleased to present the newest availability on Newbury Street! 105 Newbury Street is an ideally located boutique privately owned building with all the traditional brownstone features you would expect to find. The space is located on the third floor and the building is close to the corner of Clarendon with an amazing lunch spot, Revival Café located on the ground floor. This charming office space is available June 1, 2022.",https://bradvisors.com/listings/?propertyId=978399-lease,Office Building,False,"1,492 SF",False,02116
"21-35 W 2ed Street , Boston, MA  02127",Boston,"Boston, MA",Per Conversation with tenant ,https://bradvisors.com/listings/?propertyId=1109751-lease,Free Standing Building,False,"2,369 SF",False,02127
