address,city,city_state,description,item_url,property_sub_type_name,sale,size_summary,sublease,zip
"127 Winter Street, Fall River, MA  02720",Fall River,"Fall River, MA","Boston Realty Advisors is pleased to present the Four Square Apartment Homes, a 10 building portfolio in Fall River, Massachusetts. Totaling 69 units, the portfolio provides investors the opportunity to acquire a mix of studios, 1 and 2 bedroom apartments and a highly residential market. This portfolio allows for significant value-add potential. Through out the pandemic, vacancy remained low in the Fall River Submarket. With no significant new supply in the pipeline, the market will continue to command increased rent and rising pricing. 

Four Square Apartment Homes is located in one of New England’s premier southern suburban towns. Fall River is located along the eastern shore of Mount Hope Bay at the mouth of the Taunton River. Fall River is the tenth largest city in Massachusetts, with more than 94,000 residents. The city gained prominence during the 19th century as the leading textile manufacturing center in the United States. 

Four Square Apartment Homes presents a unique opportunity to purchase 69 units across 10 buildings for either an owner-occupier or investor. Four Square Apartment Homes is offered for sale on an unpriced basis. We will be conducting tours of the property in the upcoming weeks with a “call-for-offers” to follow.",https://bradvisors.com/listings/?propertyId=1041918-sale,Low-Rise/Garden,True,"48,131 SF",False,02720
"841-843 Columbia Road, Boston, MA  02125",Boston,"Boston, MA","Boston Realty Advisors is pleased to present the opportunity to acquire 841-843 Columbia Road. Located in Dorchester, MA, just 100 steps from the JFK/Umass MBTA Red Line, 841-843 Columbia is situated in one of Boston’s fastest growing and diverse neighborhoods. This opportunity consists of a fully renovated and stabilized 3-unit multifamily property with 11 bedrooms and a +/- 7,150SF parcel of land which has development upside.

841-843 Columbia is a unique investment opportunity with a newly renovated multifamily building as well as a neighboring vacant plot. Currently a parking lot, it can be held or developed for a variety of uses. The surrounding area provides quick drives to Carson Beach, UMass Boston, retail offerings, and downtown Boston. This property is steps from Dorchester Ave which is home to popular restaurants and entertainment destinations as well. With the amount of growth and investment underway and coming
to South Boston, 841-843 Columbia is a piece of truly irreplaceable real estate.

841-843 Columbia Road is available for sale on an “un-priced” basis. We will be conducting tours of the property in the coming weeks with a “call-for-offers” to follow.",https://bradvisors.com/listings/?propertyId=1100525-sale,Low-Rise/Garden,True,"6,174 SF",False,02125
"661 Boylston Street , Boston, MA  02116",Boston,"Boston, MA","Boston Realty Advisors is pleased to present 2nd floor 1,828 SF for lease at 661 Boylston Street. Landlord will be spec building the 2nd floor with finishes inspired by the 3rd and 4th floors spaces of the building. This building provides users access to plentiful retail, restaurants and specialty stores along with an abundance of parking options within walking distance. This is a unique chance to occupy a full floor space in Boston’s most prestigious neighborhood.",https://bradvisors.com/listings/?propertyId=1077566-lease,Office Building,False,"1,828 SF",False,02116
"19 Kingston Street, Boston, MA  02111",Boston,"Boston, MA","3rd floor of 19 Kingston Street is available!
Low $40's on a 3-5 year term",https://bradvisors.com/listings/?propertyId=1096656-lease,Office Building,False,"1,900 SF",False,02111
"190 High St, Boston, MA  02110",Boston,"Boston, MA",Sublease available Oct 1. 2022,https://bradvisors.com/listings/?propertyId=1081878-lease,Office Building,False,"2,241 SF",False,02110
"1060 Broadway Street , Somerville, MA  02144",Somerville,"Somerville, MA","Situated in between Teele, Davis, and Powder House Square 1060 Broadway in Somerville is where art, utility, and commerce meet. The remaining commercial space of the CALA project (Community, Architecture, Landscape, and Art) is located on the ground level of Broadway sizing in at 1,670 SF. This space would be perfect for a business owner looking to break into the Somerville market with plentiful access to utilize both public and private outdoor spaces. Sebastian Mariscal was able to create a unique space for the inhabitants of CALA by transforming a former elementary school into a modern mixed-use building with over 50 residential units and 22,000 SF of commercial space.",https://bradvisors.com/listings/?propertyId=1105725-sale,Street Retail,True,"1,670 SF",False,02144
"225 Friend Street, Boston, MA  02114",Boston,"Boston, MA","225 Friend Street is a 59,815 SF multi-tenanted office building nested in the highly sorted after and amenity rich submarket of North Station. Located on the 4th floor, this 3,173 SF sublease is setup perfectly for any office Tenant solving for a below market deal in a professionally managed and operated building, while ensuring the space and layout can accommodate efficiency and safety for a post pandemic return to the office.",https://bradvisors.com/listings/?propertyId=873687-lease,Office Building,False,"3,173 SF",True,02114
"1 - 9 Bayberry Road, Acton, MA  01720",Acton,"Acton, MA","Boston Realty Advisors is pleased to present Bayberry Apartments, a 2 building 48-unit community located at 1-9 Bayberry Road in Acton, Massachusetts. Bayberry Apartments provides investors with a value-add opportunity in a highly graded Massachusetts suburb. Acton, MA is most notably known for its nationally recognized school system which ranks in the top 20 schools in the state. Acton is conveniently located on Route 2, making for easy travel and seamless commuting to the Boston Metro area. Considering the employment drivers, exceptional school systems and proximity to major cities, multifamily rents in Acton consistently outperform making multifamily investment extremely attractive. 
Bayberry Apartments presents a unique opportunity for investors to purchase a substantial value-add multifamily property in one of the most desirable communities in Massachusetts. Bayberry Apartments are offered for sale on an unpriced basis. We will be conducting tours of the property in the upcoming weeks with a “call-for-offers” to follow.",https://bradvisors.com/listings/?propertyId=923896-sale,Mid-Rise,True,"45,591 SF",False,01720
"6 Beacon Street, Boston, MA  02108",Boston,"Boston, MA","Boston Realty Advisors is pleased to present 1,792 SF - 2,343 SF for lease at 6 Beacon Street. Located near Boston’s historic State House and Commons, this 90,924 square foot, 11-story office building overlooks the Boston Common and is only steps away from countless amenities such as retail, dining, public transportation, parking and gyms. The property is owned and managed by Six Beacon, LLC. The same family that has owned the property since 1963 with tremendous pride of ownership. Ownership has completed a multi-million dollar renovation from the street to the suites.
",https://bradvisors.com/listings/?propertyId=851787-lease,Office Building,False,"1,792 - 2,343 SF",False,02108
"1071 Washington Street, Boston, MA  02118",Boston,"Boston, MA","Total +/- 53,000 SF
Office/Flex +/- 25,000 SF
Industrial/Warehouse +/- 16,000 - 28,000 SF",https://bradvisors.com/listings/?propertyId=1104995-lease,Office Building,False,"19,677 - 21,900 SF",False,02118
"43 Bowdoin Street, Boston, MA  02114",Boston,"Boston, MA","43 Bowdoin is ideally situated in close proximity to all subway lines via Government Center/Bowdoin and Park Street Stations. Additionally, numerous garage parking options exist in the immediate vicinity.",https://bradvisors.com/listings/?propertyId=1066038-lease,Office Building,False,"2,100 SF",False,02114
"1-4 S Faneuil Hall Market Pl, Boston, MA  02109",Boston,"Boston, MA","630  - 74,802 SF of Contiguous Office Space Available in Boston, MA",https://bradvisors.com/listings/?propertyId=843409-lease,Office Building,False,"805 - 10,109 SF",False,02109
"121 East Berkeley St, Boston, MA  02118",Boston,"Boston, MA","2nd Floor 2,614 SF available 8/1/22",https://bradvisors.com/listings/?propertyId=1082934-lease,Office Building,False,"2,614 SF",False,02118
"37 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","2,065 SF on the 6th floor available for lease starting Oct. 1 2022",https://bradvisors.com/listings/?propertyId=1085722-lease,Office Building,False,"2,065 SF",False,02116
"209 Harvard Street, Brookline, MA  02446",Brookline,"Brookline, MA","Located in Brookline’s Coolidge Corner with a
variety of local transit options, 209 Harvard is a
fantastic location to locate a small business at
cost-effective rates.
• Newly renovated spec suites
• Recently updated lobby and common areas
• Private parking",https://bradvisors.com/listings/?propertyId=889660-lease,Office Building,False,"493 - 2,454 SF",False,02446
"47 Winter Street , Boston, MA  02108",Boston,"Boston, MA","47 Winter Street is a boutique multi-tenanted office building nestled in the heart of the highly sought after and amenity rich submarket, Downtown Crossing. Located on the 3rd floor, this efficient 2,000 SF full floor sublease is a true plug and play office space perfect for any Tenant solving for a below market deal with a flexible term in a professionally managed and operated building.",https://bradvisors.com/listings/?propertyId=990675-lease,Office Building,False,"2,000 SF",True,02108
"139 Linden Street, Wellesley, MA  02481",Wellesley,"Wellesley, MA",,https://bradvisors.com/listings/?propertyId=1100648-lease,Street Retail,False,"2,410 SF",False,02481
"330 Newbury Street, Boston, MA  02115",Boston,"Boston, MA","2,049 SF located on the 2nd floor",https://bradvisors.com/listings/?propertyId=1094405-lease,Office Building,False,"2,049 SF",False,02115
"119 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","Boston Realty Advisors is pleased to present a small 1,535 SF office or salon suite at 119 Newbury Street. This suite has wood floors and tons of natural light. 119 Newbury is conveniently located mid Newbury between Dartmouth and Clarendon and offers easy access to MBTA Commuter Rail and Orange Line Station at Back Bay & Green Line Stations at Copley and Arlington.",https://bradvisors.com/listings/?propertyId=890145-lease,Office Building,False,"1,535 SF",False,02116
"36 Bromfield Street, Boston, MA  02108",Boston,"Boston, MA","Boston Realty Advisors is pleased to present 250 – 3,138 SF SF available for lease at 36 Bromfield Street. This stately five-story office building is strategically located in the heart of Boston’s Downtown Crossing neighborhood. The building’s location boasts immediate proximity to all major public transportation channels and public parking. It offers several creative spaces for different types of users.

The property is owned and managed by
The Druker Company, Ltd.

Type: Downtown Office
Neighborhood: Downtown
Property Details: Available Space:

2nd Floor: 247 SF
2nd Floor: 1,648 SF
3rd Floor: 408 SF
3rd Floor: 2,705 SF
4th Floor: 232 SF
4th Floor: 1,181 SF
4th Floor: 3,138 SF
5th Floor: 776 SF

Building Size
34,932 SF on 5 Floors

Lease Term: 2 Years+
Lease Rate: $29/SF",https://bradvisors.com/listings/?propertyId=842591-lease,Office Building,False,"232 - 3,138 SF",False,02108
"95 Sam Fonzo Drive, Beverly, MA  01915",Beverly,"Beverly, MA","Boston Realty Advisors is pleased to present 95 Sam Fonzo Drive in Beverly Massachusetts. Newly built in 2020,
95 Sam Fonzo Drive is a 26,000 SF Flex Industrial building on 2.34 acres, located directly across from the Beverly
Airport. With beautifully finished office space, a functioning leasable second floor with a mezzanine this property
offers ownership a handful of options as landlords as well as owner occupiers. 95 Sam Fonzo Drive is offered for sale on an unpriced basis. We will be conducting tours of the property in the upcoming weeks with a “call-for-offers” to follow.",https://bradvisors.com/listings/?propertyId=1092430-sale,Flex Space,True,"26,000 SF",False,01915
"2 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","The property lends itself well for a flagship, single-tenant retailer or a boutique retail/office user. Opportunity to lease just the ground and lower levels, or up to all six levels.",https://bradvisors.com/listings/?propertyId=1011625-lease,Street Retail,False,"17,076 SF",False,02116
"71, 77 & 87 Summer Street, Boston, MA  02110",Boston,"Boston, MA","Boston Realty Advisors is pleased to present available space at 71 , 77 & 87 Summer as part of the Hive. At the Hive, five office buildings converge around shared spaces for a dynamic sociable environment. The buildings are the perfect opportunity for a small business to have a full floor identity with fantastic access to public transportation and area amenities. In recent years, Summer Street has become the preferred location for some of Boston’s newest up-and-coming technology innovators. Come join tenants such as Vesper, Starry and many more!",https://bradvisors.com/listings/?propertyId=843949-lease,Office Building,False,"2,169 - 6,146 SF",False,02110
"85 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","3,651 SF of Space Available in Boston, MA",https://bradvisors.com/listings/?propertyId=843975-lease,Office Building,False,"850 - 1,422 SF",False,02116
"353 Newbury Street, Boston, MA  02115",Boston,"Boston, MA","Boston Realty Advisors is pleased to present the extraordinary opportunity to acquire 353 Newbury Street. Located in the Back Bay between Hereford Street and Massachusetts Avenue, 353 Newbury is situated in one of Boston’s most iconic neighborhoods. This opportunity consists of 2,850 square feet of retail space occupied by Reformation on the first floor, a total of 3,884 square feet of office space occupied by a single tenant on the second and third floors, and 2,757 square feet of storage space in the basement.  

353 Newbury is an irreplaceable address by every measurable standard. The building’s tenant mix adds to the tremendous retail vein on Newbury Street and the professional nature of the Back Bay. 353 Newbury sits on the West end of Newbury Street making it a gateway location to iconic landmarks such as The Prudential Center, the Berklee College of Music campus, and Fenway Park, while being connected by several transportation options.",https://bradvisors.com/listings/?propertyId=1079069-sale,Office and Retail,True,"7,000 SF",False,02115
"10 - 14 Arrow Street, Cambridge, MA  02138",Cambridge,"Cambridge, MA","Boston Realty Advisors is pleased to offer 10-14 Arrow Street for lease in the heart of Harvard Square. The historic brick and
timber construction was carefully restored and modernized from 2011 - 2015 and includes a diverse mix of tenancy, anchored
by PJA Advertsing + Marketing. Individual suites boast high ceilings, exposed brick and timber, and operable windows.",https://bradvisors.com/listings/?propertyId=1093111-lease,Office Building,False,"1,212 - 2,365 SF",False,02138
"479 Meridian Street, Boston, MA  02110",Boston,"Boston, MA","Boston Realty Advisors is pleased to present the opportunity to acquire 479 Meridian Street, a waterfront property located in the dynamic submarket of East Boston, MA. The offering totals 4 acres, with 1.3 acres of Upland property. 479 Meridian Street offers investors an opportunity to claim a significant sized parcel on East Boston’s limited waterfront with significant upside potential. 

East Boston is considered to be at the epicenter of development and an increasingly sought-after destination due to its authentic community, convenient transportation access, breathtaking views of the Boston Skyline and overall proximity to surrounding areas. 

 479 Meridian Street is just under mile from the MBTA’s Airport Station and just over one mile to major thoroughfares such as the Mass Pike. By car, Logan Airport is just an 8 minute drive which will have travelers to their gate in under less than 30 minutes, door to door.

479 Meridian Street is offered for sale on an unpriced basis. We will be conducting tours of the property in the coming weeks with a call-for-offers to follow. 
",https://bradvisors.com/listings/?propertyId=961308-sale,Other,True,"174,425 SF",False,02110
"577 Massachusetts Avenue, Boston, MA  02118",Boston,"Boston, MA","Boston Realty Advisors is pleased to present the opportunity to acquire 577 Massachusetts Avenue (Mass Ave). Located in the South End between Shawmut Avenue and Tremont Street, 577 Mass Ave is situated in one of Boston’s most popular and ever-growing neighborhoods. This opportunity presents a full residential redevelopment opportunity.  

The South End has become one of Boston’s most premier submarkets as it is home to historical Victorian brownstone buildings, a vibrant arts community, and some of the city’s most popular restaurants. Located just minutes from Back Bay and downtown, The South End offers immediate access to other parts of Boston while having a local neighborhood feel. 577 Mass Ave boasts an opportunity to join this exciting area with strong investment upside.

577 Mass Ave is available for sale on an “un-priced” basis. We will be conducting tours of the property in the coming weeks with a “call-for-offers” to follow. 
The South End has become one of Boston’s most premier submarkets as it is home to historical Victorian brownstone buildings, a vibrant arts community, and some of the city’s most popular restaurants. Located just minutes from Back Bay and downtown, The South End offers immediate access to other parts of Boston while having a local neighborhood feel. 577 Mass Ave boasts an opportunity to join this exciting area with strong investment upside.

577 Mass Ave is available for sale on an “un-priced” basis. We will be conducting tours of the property in the coming weeks with a “call-for-offers” to follow. ",https://bradvisors.com/listings/?propertyId=1091982-sale,Low-Rise/Garden,True,"5,519 SF",False,02118
"10-14 Arrow Street, Cambridge, MA  02138",Cambridge,"Cambridge, MA","Boston Realty Advisors and Kelleher & Sadowsky is exclusively retained to sell 10-14 Arrow Street, a rare opportunity to acquire an iconic office building located in Harvard Square, Cambridge, Massachusetts. Originally home to the Reversible Collar Company, 10-14 Arrow Street consists of +/- 55,500 RSF across five floors that spans between Arrow and Mount Auburn Streets. Constructed in 1866-1890, 10-14 Arrow Street has a rich history, and is listed on the National Register of Historic Places.

Cambridge, Massachusetts is home to some of the world’s most prestigious universities, leading institutions and is currently the biotech hub of the world. Harvard and MIT, were recently ranked the top #1 and #2 universities in the world, a title they have both enjoyed for many years. 10-14 Arrow Street is located directly in Harvard Square and offers tenants a wealth of amenities, transportation options and drafts off the constricted Kendall Square office market. 

10-14 Arrow Street offers investors an opportunity to acquire a truly rare asset located in one of the most desirable locations on  the planet. 10-14 Arrow Street is offered for sale on an un-priced basis. We will be conducting tours of the property with a “call-for-offers” to follow




VISIT    WWW.ARROWSTREETCAMBRIDGE.COM      for more info
",https://bradvisors.com/listings/?propertyId=1006124-sale,Office Building,True,"55,500 SF",False,02138
"507 Massachusetts Avenue, Boston, MA  02118",Boston,"Boston, MA","Boston Realty Advisors is please to present the opportunity to acquire 507 Mass Ave, a  multifamily brownstone on Massachusetts, Avenue in Boston’s South End. This generational asset provides investors the opportunity for significant value add and development potential. The ability for continued apartment usage or condominium conversion gives extra flexibility to potential owners. The property is perfectly situated just off the Northeastern University campus and Boston Medical Center, providing extra demand for the already highly sought-after area. 
Located in South End, one of Boston’s premiere neighborhoods, provides investors instant exposure to the strong market dynamics of this high-end neighborhood. The South End is home to fine dining and many attractions including the SoWa Art & Design District, which attracts farmers, food trucks, and artisans during its open-air Sunday Market. The area provides housing for families, young professionals, students, and beyond.
507 Mass Ave offers investors a generational multifamily asset with significant value add potential. 507 Mass Ave is offered for sale on an un-priced basis. We will be conducting tours of the property with a “call-for-offers” to follow.
",https://bradvisors.com/listings/?propertyId=978591-sale,Low-Rise/Garden,True,"6,882 SF",False,02118
"102 Shawomet Gardens, Somerset, MA  02726",Somerset,"Somerset, MA","Boston Realty Advisors is pleased to present the opportunity to acquire an 100% market rate, 240-Unit value-add apartment community in Somerset, Massachusetts; Shawomet Gardens. Shawomet Gardens consists of over 60 residential buildings as well as a two-family home, a single-family home, and a retail store. The property offers investors immediate scale and significant value-add potential through a strategic renovation program and rent growth.

Somerset, MA is a desirable suburb in the Southeastern part of the state. Somerset is about 20 miles southeast of Providence, Rhode Island and 45 miles south of Boston. Somerset is part of Bristol County, one of the area’s most highly sought-after places to live and work. Across the river, Fall River sits as one of Massachusetts most up and coming municipalities. Making a name for itself during the 19th century as the country’s leader in textile manufacturing, the city is back on the rise for general manufacturing and fishing. A neighboring town, New Bedford, is one of New England’s premier southern suburban towns. New Bedford is home to one of the nation’s most valuable deep water and fishing ports, which processes more than $730M worth of cargo annually, driving intrinsic demand for industrial space within the submarket. Home to Amazon’s 1M SF distribution facility, this submarket boasts some of the strongest year over year growth of any submarket over 50M SF nationwide.

Shawomet Gardens presents a unique opportunity to purchase 240 market rate units in a strong submarket. Shawomet Gardens is offered for sale on an unpriced basis. We will be conducting tours of the property in the upcoming weeks with a “call-for-offers” to follow.

Visit      ShawometGardensApt.com     for more info. ",https://bradvisors.com/listings/?propertyId=983914-sale,Low-Rise/Garden,True,"9,999 SF",False,02726
"184 Charles Street, Cambridge, MA  02141",Cambridge,"Cambridge, MA","Boston Realty Advisors, in conjunction with 128 CRE is pleased to present the exceptional opportunity to acquire or lease 184 Charles Street, a +/- 14,800 square foot parcel of land in Kendall Square of Cambridge, Massachusetts. Located in the world’s most premier office and lab markets, 184 Charles is truly a unique development opportunity which lends itself to a variety of uses. 184 Charles is just three blocks from some of the most globally recognized bio-medical companies, institutions and educational institutes that make up the landscape of Kendall Square. 184 Charles presents the rare opportunity to redevelop the parcel to add to the ever growing demand for lab space or multifamily housing. .

184 Charles is offered for sale or lease on an un-priced basis. We will be conducting tours of the property with a “call-for-offers” to follow.

INVESTMENT HIGHLIGHTS:
Cambridge, Massachusetts:

Cambridge, Massachusetts is a world renowned city by every sense of the term. Home to Harvard University, Massachusetts Institute of Technology and some of the largest biotech firms in the world, Cambridge presents both stable investment qualities and long-term growth opportunity.

 

Strong Market Dynamics:

Innovation and education have been the main power source for the success and strength of the submarket. Home to global companies such as Novartis and Biogen, Cambridge is the epicenter of life science research and development. These market drivers produce incredible demand housing and retail focused needs.

 

Transit-Oriented:

Situated just four blocks from the Kendall Square Red Line MBTA, 184 Charles is a 0.3 mile walk to immediate transit. The Kendall Square MBTA stop is situated at the epicenter of this economic cluster, providing residents with superior access to and from the three most important locations in Cambridge, MA.

 

Superior Area Amenities:

Located directly in Kendall Square, area amenities are unmatched. Ranging from some of the best restaurants in the New England area to boutique shops and markets, 184 Charles is in close proximity to it all.",https://bradvisors.com/listings/?propertyId=840315-sale,Multifamily,True,"14,800 SF",False,02141
"184 Charles Street, Cambridge, MA  02141",Cambridge,"Cambridge, MA","Boston Realty Advisors, in conjunction with 128 CRE is pleased to present the exceptional opportunity to acquire or lease 184 Charles Street, a +/- 14,800 square foot parcel of land in Kendall Square of Cambridge, Massachusetts. Located in the world’s most premier office and lab markets, 184 Charles is truly a unique development opportunity which lends itself to a variety of uses. 184 Charles is just three blocks from some of the most globally recognized bio-medical companies, institutions and educational institutes that make up the landscape of Kendall Square. 184 Charles presents the rare opportunity to redevelop the parcel to add to the ever growing demand for lab space or multifamily housing. .

184 Charles is offered for sale or lease on an un-priced basis. We will be conducting tours of the property with a “call-for-offers” to follow.
",https://bradvisors.com/listings/?propertyId=840315-lease,Multifamily,False,"14,800 SF",False,02141
"273 Somerville Ave, Somerville, MA  02143",Somerville,"Somerville, MA","Boston Realty Advisors has been engaged to market 273 Somerville Avenue, a 22,585 square foot development site in Somerville Massachusetts. Located in the center of Union Square, the heart of Somerville’s new zoning initiative is an assemblage of 6 lots between three owners (“Owners” or “Ownership”) who have asked Boston Realty Advisors to exclusively market their land together. 273 Somerville Ave Ownership shares the block that lies between Somerville Avenue, Washington Street and Merriam Street with the City of Somerville. The Site is entirely located within an Opportunity Zone.

As of December 12th 2019, the City of Somerville passed a comprehensive, city wide zoning overhaul in hopes to maximize demand by transforming Union Square into a mixed-use hub. With the delivery of the future Union Square MBTA Green Line station, the new zoning code calls for the urbanization of Union Square increasing employment opportunities in the City of Somerville. 273 Somerville Ave, based on the new zoning code, is in the Commercial Core 5 district with a Master Plan Development Overlay implemented to create design-based neighborhood and station area plans.

Ownership is happy to provide investors an opportunity to acquire a fantastic development opportunity at market rate. Boston Realty Advisors will be conducting tours of the property with a “call-for-offers” to follow.",https://bradvisors.com/listings/?propertyId=840281-sale,Office,True,0.52 Acres,False,02143
"50 Congress Street, Boston, MA  02109",Boston,"Boston, MA","Flexible Headcount - 35-45 people
Open plan
Plug and Play setup. ",https://bradvisors.com/listings/?propertyId=881773-lease,Office Building,False,"5,182 SF",True,02109
"18 Tremont Street, Boston, MA  02108",Boston,"Boston, MA","Set in the heart of Boston, MA on the historic freedom Trail, 18 Tremont Street is distinguished by 11 floors of office space with fantastic views of the city and over 44,000 SF of ground floor retail. Our ground floor retail has direct access and unparalleled visibility to:

• Local Residents
• Thousands of daily commuters
• Tourists
• The surrounding office population
• Suffolk University Students",https://bradvisors.com/listings/?propertyId=992508-lease,Street Retail,False,"1,148 - 2,363 SF",False,02108
"85 MAIN STREET, East Watertown, MA  02472",East Watertown,"East Watertown, MA","Available Space

3rd Floor:  4,100 SF

Specifications
Term: Flexible
Rent: $26.00/SF 

Build-Out
Heavily Office Layout with 2 Large Conference Rooms and Kitchenette

ACCESS

• Steps to Watertown Yards bus depot, offering bus service to Downtown Boston/Back Bay as well as connections to Harvard Sq, Kenmore Sq and Waltham/Moody Street.

• Located on Route 20, minutes from the Mass Pike/I-90 (Exit 17).

SIGNAGE OPPORTUNITY
Prominent Route 20 signage opportunity in bustling Watertown Square. 
Neighborhood: Watertown
Property Details: Available Space:
3rd Floor: 4,100 SF",https://bradvisors.com/listings/?propertyId=842568-lease,Office Building,False,"3,385 - 4,121 SF",False,02472
"434 MASSACHUSETTS AVENUE, Boston, MA  02118",Boston,"Boston, MA","Boston Realty Advisors has been retained as the Exclusive Agent for the lease of 476-8,009 RSF which is currently demised into varying sized office suites on the 2nd floor as well as the lower level space at 434 Massachusetts Avenue. Ideally situated at the confluence of Massachusetts Avenue and Columbus Avenue, the building sits just steps from both the Symphony and Mass Ave MTBA T stop.

• Elegant six-story 38,000 SF building
• Situated on the corner of Massachusetts Avenue and Columbus Avenue
• Retail space occupied by Dunkin Donuts and one of South End’s hottest new restaurants, SRV
• Recent common area capital improvements
• Abundant local amenities
• Steps from MBTA Orange and Green Lines
• Strong local ownership",https://bradvisors.com/listings/?propertyId=842285-lease,Office Building,False,"476 - 8,009 SF",False,02118
"727 Atlantic Avenue, Boston, MA  02111",Boston,"Boston, MA","BOSTON REALTY ADVISORS is pleased to present 3,249 SF, 3,226 SF, and 3,241 SF of office space for lease at 727 ATLANTIC AVENUE. Conveniently located steps from Boston's largest commuting hub, South Station, makes 727 ATLANTIC AVENUE an attractive option for many innovating and growing companies.

HIGHLIGHTS:
Rare Full Floor Opportunities
Elevator Identity
Premier Window Line
Steps to South Station
Value Option in Access Hotspot

Type: Downtown Office
Property Details: Available Space:
1st Floor – 3,249 SF
6th Floor – 3,241 SF
Lease Rate: Negotiable
Lease Term: 3-5 Years",https://bradvisors.com/listings/?propertyId=842570-lease,Office Building,False,"3,226 - 3,249 SF",False,02111
"One Winter Street, Boston, MA  02108",Boston,"Boston, MA","Boston Realty Advisors is pleased to present 6,744 & 6,277 RSF for lease at One Winter Street, available immediately. This 10th floor penthouse suite offers fantastic views of Boston as well as 24-hour security, and is next to Boston’s busiest transportation hub.

The property is owned and managed by The Druker Company, Ltd.",https://bradvisors.com/listings/?propertyId=842258-lease,Office Building,False,"6,277 - 6,744 SF",False,02108
